"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"2","","file:/D:/d_2018_002/data/","D:\d_2018_002\data","data",,"Done","","Folder",,"2018-11-15T11:35:10","false",,"",,"","",""
"3","2","file:/D:/d_2018_002/data/01/","D:\d_2018_002\data\01","01",,"Done","","Folder",,"2018-11-15T11:40:54","false",,"",,"","",""
"12","3","file:/D:/d_2018_002/data/01/SCRIPT_Inhoudelijke_richtlijnen.doc","D:\d_2018_002\data\01\SCRIPT_Inhoudelijke_richtlijnen.doc","SCRIPT_Inhoudelijke_richtlijnen.doc","Container","Done","23552","File","doc","2001-09-09T22:26:00","false",,"1","fmt/40","application/msword","Microsoft Word Document","97-2003"
"15","3","file:/D:/d_2018_002/data/01/SCRIPT_symposium_RIO.doc","D:\d_2018_002\data\01\SCRIPT_symposium_RIO.doc","SCRIPT_symposium_RIO.doc","Container","Done","44544","File","doc","2001-09-09T23:53:26","false",,"1","fmt/40","application/msword","Microsoft Word Document","97-2003"
"5","3","file:/D:/d_2018_002/data/01/technisch_materiaal_provhuis.xls","D:\d_2018_002\data\01\technisch_materiaal_provhuis.xls","technisch_materiaal_provhuis.xls","Container","Done","17920","File","xls","2001-09-10T00:03:44","false",,"1","fmt/61","application/vnd.ms-excel","Microsoft Excel 97 Workbook (xls)","8"
"4","3","file:/D:/d_2018_002/data/01/teksten/","D:\d_2018_002\data\01\teksten","teksten",,"Done","","Folder",,"2018-11-15T11:42:37","false",,"",,"","",""
"7","4","file:/D:/d_2018_002/data/01/teksten/Nota_ecologische_schuld.doc","D:\d_2018_002\data\01\teksten\Nota_ecologische_schuld.doc","Nota_ecologische_schuld.doc","Container","Done","27136","File","doc","2001-08-29T10:50:42","false",,"1","fmt/40","application/msword","Microsoft Word Document","97-2003"
"8","4","file:/D:/d_2018_002/data/01/teksten/Website_frontpage_E.doc","D:\d_2018_002\data\01\teksten\Website_frontpage_E.doc","Website_frontpage_E.doc","Container","Done","23040","File","doc","2001-10-03T15:21:04","false",,"1","fmt/40","application/msword","Microsoft Word Document","97-2003"
"14","4","file:/D:/d_2018_002/data/01/teksten/Website_inschrform_2talig.doc","D:\d_2018_002\data\01\teksten\Website_inschrform_2talig.doc","Website_inschrform_2talig.doc","Container","Done","23040","File","doc","2001-10-03T17:24:42","false",,"1","fmt/40","application/msword","Microsoft Word Document","97-2003"
"11","4","file:/D:/d_2018_002/data/01/teksten/folder_Eng.doc","D:\d_2018_002\data\01\teksten\folder_Eng.doc","folder_Eng.doc","Container","Done","45568","File","doc","2001-10-08T16:28:50","false",,"1","fmt/40","application/msword","Microsoft Word Document","97-2003"
